date_time,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,日期,小时,是否为高峰,temp_celsius,weekday,is_weekend,weather_main_code
2012-10-02 09:00:00,0,288.28,0.0,0.0,40,Clouds,scattered clouds,5545,2,9,1,15.13,1,0,1
2012-10-02 10:00:00,0,289.36,0.0,0.0,75,Clouds,broken clouds,4516,2,10,0,16.21,1,0,1
2012-10-02 11:00:00,0,289.58,0.0,0.0,90,Clouds,overcast clouds,4767,2,11,0,16.43,1,0,1
2012-10-02 12:00:00,0,290.13,0.0,0.0,90,Clouds,overcast clouds,5026,2,12,0,16.98,1,0,1
2012-10-02 13:00:00,0,291.14,0.0,0.0,75,Clouds,broken clouds,4918,2,13,0,17.99,1,0,1
2012-10-02 14:00:00,0,291.72,0.0,0.0,1,Clear,sky is clear,5181,2,14,1,18.57,1,0,0
2012-10-02 15:00:00,0,293.17,0.0,0.0,1,Clear,sky is clear,5584,2,15,1,20.02,1,0,0
2012-10-02 16:00:00,0,293.86,0.0,0.0,1,Clear,sky is clear,6015,2,16,1,20.71,1,0,0
2012-10-02 17:00:00,0,294.14,0.0,0.0,20,Clouds,few clouds,5791,2,17,1,20.99,1,0,1
2012-10-02 18:00:00,0,293.1,0.0,0.0,20,Clouds,few clouds,4770,2,18,0,19.95,1,0,1
2012-10-02 19:00:00,0,290.97,0.0,0.0,20,Clouds,few clouds,3539,2,19,0,17.82,1,0,1
2012-10-02 20:00:00,0,289.38,0.0,0.0,1,Clear,sky is clear,2784,2,20,0,16.23,1,0,0
2012-10-02 21:00:00,0,288.61,0.0,0.0,1,Clear,sky is clear,2361,2,21,0,15.46,1,0,0
2012-10-02 22:00:00,0,287.16,0.0,0.0,1,Clear,sky is clear,1529,2,22,0,14.01,1,0,0
2012-10-02 23:00:00,0,285.45,0.0,0.0,1,Clear,sky is clear,963,2,23,0,12.3,1,0,0
2012-10-03 00:00:00,0,284.63,0.0,0.0,1,Clear,sky is clear,506,3,0,0,11.48,2,0,0
2012-10-03 01:00:00,0,283.47,0.0,0.0,1,Clear,sky is clear,321,3,1,0,10.32,2,0,0
2012-10-03 02:00:00,0,281.18,0.0,0.0,1,Clear,sky is clear,273,3,2,0,8.03,2,0,0
2012-10-03 03:00:00,0,281.09,0.0,0.0,1,Clear,sky is clear,367,3,3,0,7.94,2,0,0
2012-10-03 04:00:00,0,279.53,0.0,0.0,1,Clear,sky is clear,814,3,4,0,6.38,2,0,0
2012-10-03 05:00:00,0,278.62,0.0,0.0,1,Clear,sky is clear,2718,3,5,0,5.47,2,0,0
2012-10-03 06:00:00,0,278.23,0.0,0.0,1,Clear,sky is clear,5673,3,6,1,5.08,2,0,0
2012-10-03 08:00:00,0,278.12,0.0,0.0,1,Clear,sky is clear,6511,3,8,1,4.97,2,0,0
2012-10-03 09:00:00,0,282.48,0.0,0.0,1,Clear,sky is clear,5471,3,9,1,9.33,2,0,0
2012-10-03 12:00:00,0,291.97,0.0,0.0,1,Clear,sky is clear,5097,3,12,1,18.82,2,0,0
2012-10-03 13:00:00,0,293.23,0.0,0.0,1,Clear,sky is clear,4887,3,13,0,20.08,2,0,0
2012-10-03 14:00:00,0,294.31,0.0,0.0,1,Clear,sky is clear,5337,3,14,1,21.16,2,0,0
2012-10-03 15:00:00,0,295.17,0.0,0.0,1,Clear,sky is clear,5692,3,15,1,22.02,2,0,0
2012-10-03 16:00:00,0,295.13,0.0,0.0,1,Clear,sky is clear,6137,3,16,1,21.98,2,0,0
2012-10-03 18:00:00,0,293.66,0.0,0.0,20,Clouds,few clouds,4623,3,18,0,20.51,2,0,1
2012-10-03 19:00:00,0,290.65,0.0,0.0,20,Clouds,few clouds,3591,3,19,0,17.5,2,0,1
2012-10-03 20:00:00,0,288.19,0.0,0.0,20,Clouds,few clouds,2898,3,20,0,15.04,2,0,1
2012-10-03 21:00:00,0,287.1,0.0,0.0,1,Clear,sky is clear,2637,3,21,0,13.95,2,0,0
2012-10-03 22:00:00,0,286.25,0.0,0.0,1,Clear,sky is clear,1777,3,22,0,13.1,2,0,0
2012-10-03 23:00:00,0,285.26,0.0,0.0,1,Clear,sky is clear,1015,3,23,0,12.11,2,0,0
2012-10-04 00:00:00,0,284.55,0.0,0.0,1,Clear,sky is clear,598,4,0,0,11.4,3,0,0
2012-10-04 01:00:00,0,283.47,0.0,0.0,1,Clear,sky is clear,369,4,1,0,10.32,3,0,0
2012-10-04 02:00:00,0,283.17,0.0,0.0,1,Clear,sky is clear,312,4,2,0,10.02,3,0,0
2012-10-04 03:00:00,0,282.04,0.0,0.0,1,Clear,sky is clear,367,4,3,0,8.89,3,0,0
